raw_mass,raw_cumu,dry_radius
120,9400.0,2.5247838961772673
220,5400.0,3.090091620907062
350,2950.0,3.607335017021671
545,1850.0,4.181152072612997
790,1010.0,4.731942876441249
1150,600.0,5.362859381748528
1550,320.0,5.923899684013984
1950,195.0,6.395021367564361
2600,95.0,7.038631770274715
3250,45.0,7.582136228120187
3900,26.0,8.057222035521837
4950,14.0,8.723662643450767
6000,7.2,9.301383400777052
6900,4.3,9.744962219038287
