dry_radius,n_concentration
0.5191391672522796,758647.4458234493
0.5821976696916484,636604.9335705856
0.643878310960088,539162.8992671678
0.710946842042332,449076.1596007468
0.7996570972665892,371817.6485706513
0.927499739114601,279911.02204556356
1.054566075004871,220252.07063753932
1.4910897888793861,108852.89905517969
1.759437305556897,78579.63369800172
2.057960948750844,54971.80534614475
2.317770669837817,41452.4305165125
2.6227514117133306,31018.443413994344
3.073763596393818,21582.910012835735
3.359725503846518,16895.848240004947
3.99291865588375,10872.514611919882
4.488319826860968,7756.217873767242
5.018228849002867,5468.396542008516
5.342695991571915,4458.409957386899
6.099306568692868,2822.4743250034317
7.19720372617767,1576.1951977816602
7.674447676412786,1150.985891001175
8.140051066961076,885.0544703222802
8.785310784263684,600.8001051432652
9.189399436643575,466.2405044756831
9.756045028959733,335.5521300366841
10.18569019805449,261.04176667368455
10.860932871905908,191.61963121436682
11.510666276437838,137.09764665932244
12.216227994303338,94.90301284375978
12.615093181809664,73.51060549873586
13.12785575372275,55.59426591024184
13.74454801547423,37.88349162561167
14.28533610133166,27.480839774620446
14.87089576295538,20.326846145842392
15.458017553504494,13.68327325786541
