raw_mass,raw_cumu,dry_radius
120,3200.0,2.5247838961772673
190,2000.0,2.9427158590245965
280,1000.0,3.34875318682163
375,560.0,3.6912564487882604
505,310.0,4.076251035783425
695,170.0,4.534110127215481
860,50.0,4.867768842450283
1150,22.0,5.362859381748528
1540,10.2,5.911132619256795
1700,3.7,6.109140358812073
