alts,rh,t,p,r28um,r50um,r74um,r98um,r122um,r156um,bd_fallv_28um,bd_fallv_50um,bd_fallv_74um,bd_fallv_98um,bd_fallv_122um,bd_fallv_156um
0,62.972360855686965,27.709114295677317,1019.3588953635896,4.71920767848604,8.427156568725092,12.472191721713148,16.5172268747012,20.56226202768925,24.607297180677307,0.0033251734698803,0.0105203932321934,0.0227968240248094,0.0396228598682934,0.0607038832290327,0.0892513086451746
1,63.00664146759284,27.699456045021776,1019.246559913528,4.720243272206464,8.42900584322585,12.47492864797427,16.520851452722688,20.566774257471103,24.61269706221952,0.0033262682007958,0.0105238690834596,0.0228042882223853,0.0396357502991304,0.0607233449112325,0.0892773692532994
2,63.0409220794987,27.689797794366243,1019.1342244634666,4.721280331541587,8.430857734895712,12.477669447645663,16.524481160395617,20.57129287314557,24.61810458589552,0.0033273647312359,0.010527350654938,0.0228117646651469,0.0396486617694133,0.060742838095992,0.0893034719999215
3,63.07520269140457,27.680139543710705,1019.0218890134051,4.722318859805527,8.432712249652747,12.480414129486078,16.528116009319405,20.57581788915273,24.62351976898606,0.0033284630658696,0.0105308379614715,0.0228192533847754,0.0396615943332789,0.0607623628637786,0.089329616992645
4,63.10948330331044,27.67048129305517,1018.9095535633436,4.723358860322845,8.434569393433673,12.483162702281843,16.531756011130017,20.58034931997819,24.62894262882636,0.0033295632093818,0.0105343310179552,0.0228267544130623,0.039674548045051,0.0607819192953358,0.0893558043394421
5,63.14376391521631,27.660823042399635,1018.7972181132824,4.724400336428589,8.43642917219393,12.485915174847028,16.535401177500123,20.58488718015322,24.634373182806318,0.0033306651664739,0.010537829839336,0.0228342677819096,0.0396875229592417,0.0608015074716851,0.0893820341486557
6,63.178044527122175,27.651164791744097,1018.6848826632208,4.725443291468338,8.438291591907767,12.488671556023506,16.539051520139243,20.589431484254984,24.63981144837072,0.003331768941864,0.0105413344406132,0.0228417935233307,0.0397005191305519,0.0608211274741268,0.0894083065290002
7,63.212325139028046,27.64150654108856,1018.5725472131594,4.72648772879824,8.440156658568307,12.491431854681109,16.542707050793904,20.593982246906695,24.645257443019496,0.0033328745402863,0.0105448448368387,0.0228493316694506,0.0397135366138725,0.0608407793842414,0.0894346215895637
8,63.24660575093392,27.631848290433027,1018.460211763098,4.727533651785061,8.44202437818763,12.494196079717703,16.546367781247774,20.598539482777845,24.65071118430792,0.0033339819664919,0.0105483610431168,0.0228568822525066,0.0397265754642849,0.0608604632838905,0.0894609794398092
9,63.28088636283979,27.62219003977749,1018.3478763130364,4.728581063806223,8.443894756796848,12.496964240059343,16.55003372332184,20.60310320658434,24.65617268984683,0.0033350912252483,0.0105518830746051,0.0228644453048488,0.0397396357370619,0.0608801792552186,0.0894873801895762
10,63.31516697474565,27.612531789121952,1018.2355408629752,4.72962996824985,8.445767800446182,12.49973634466036,16.553704888874538,20.607673433088717,24.66164197730289,0.0033362023213401,0.0105554109465143,0.0228720208589401,0.0397527174876688,0.0608999273806536,0.0895138239490827
11,63.34944758665152,27.60287353846642,1018.1232054129136,4.730680368514815,8.447643515205048,12.50251240250348,16.557381289801913,20.612250177100343,24.66711906439878,0.0033373152595683,0.0105589446741085,0.0228796089473575,0.0397658207717638,0.0609197077429086,0.0895403108289267
12,63.38372819855739,27.59321528781088,1018.0108699628522,4.731732268010776,8.449521907162122,12.50529242259995,16.56106293803778,20.616833453475607,24.67260396891343,0.003338430044751,0.0105624842727054,0.0228872096027919,0.0397789456451992,0.0609395204249831,0.0895668409400874
13,63.41800881046326,27.583557037155344,1017.8985345127908,4.732785670158228,8.45140298242543,12.508076413989643,16.564749845553862,20.62142327711808,24.67809670868229,0.0033395466817233,0.0105660297576769,0.0228948228580492,0.0397920921640222,0.0609593655101639,0.0895934143939279
14,63.45228942236913,27.57389878649981,1017.7861990627292,4.733840578388542,8.45328674712242,12.510864385741192,16.56844202435996,20.62601966297873,24.6835973015975,0.0033406651753371,0.0105695811444488,0.0229024487460501,0.0398052603844755,0.0609792430820266,0.0896200313021954
15,63.486570034275,27.564240535844277,1017.673863612668,4.734896996144014,8.455173207400048,12.51365634695208,16.572139486504113,20.630622626056144,24.68910576560818,0.0033417855304617,0.0105731384485013,0.0229100872998315,0.0398184503629985,0.0609991532244369,0.0896466917770244
16,63.52085064618087,27.554582285188737,1017.5615281626064,4.735954926877906,8.457062369424854,12.516452306748794,16.57584224407273,20.635232181396677,24.694622118720613,0.0033429077519833,0.0105767016853693,0.022917738552546,0.0398316621562279,0.0610190960215518,0.0896733959309372
17,63.55513125808673,27.544924034533203,1017.449192712545,4.7370143740544925,8.458954239383043,12.519252274286917,16.579550309190786,20.639848344094656,24.70014637899853,0.0033440318448056,0.0105802708706426,0.0229254025374635,0.0398448958209989,0.0610390715578208,0.0897001438768463
18,63.5894118699926,27.535265783877666,1017.3368572624836,4.7380753411491074,8.460848823480571,12.522056258751256,16.58326369402194,20.644471129292626,24.705678564563307,0.0033451578138496,0.0105838460199662,0.0229330792879706,0.0398581514143457,0.0610590799179872,0.0897269357280559
19,63.62369248189847,27.52560753322213,1017.2245218124222,4.739137831648187,8.462746127943214,12.524864269355968,16.58698241076872,20.64910055218147,24.711218693594223,0.0033462856640535,0.0105874271490401,0.0229407688375721,0.0398714289935025,0.0610791211870897,0.0897537715982632
20,63.65797309380434,27.515949282566595,1017.1121863623608,4.740201849049318,8.46464615901666,12.527676315344667,16.590706471672675,20.653736628000683,24.71676678432869,0.0033474154003731,0.0105910142736205,0.0229484712198909,0.0398847286159046,0.0610991954504632,0.089780651601561
21,63.69225370571021,27.506291031911054,1016.9998509122992,4.74126739686128,8.466548922966593,12.53049240599057,16.594435889014544,20.65837937203852,24.72232285506249,0.003348547027782,0.0105946074095189,0.0229561864686687,0.0398980503391889,0.0611193027937403,0.0898075758524386
22,63.72653431761608,27.496632781255524,1016.8875154622378,4.742334478604096,8.468454426078766,12.533312550596586,16.598170675114403,20.66302879963222,24.72788692415004,0.0033496805512712,0.0105982065726033,0.0229639146177669,0.0399113942211953,0.061139443302853,0.0898345444657841
23,63.76081492952195,27.486974530599987,1016.7751800121764,4.743403097809079,8.470362674659091,12.536136758495466,16.601910842331844,20.667684926168214,24.733459010004587,0.0033508159758494,0.0106018117787978,0.0229716557011663,0.0399247603199669,0.0611596170640332,0.0898615575568856
24,63.79509554142782,27.47731627994445,1016.662844562115,4.744473258018872,8.472273675033723,12.53896503904992,16.605656403066114,20.67234776708231,24.739039131098508,0.0033519533065432,0.0106054230440833,0.0229794097529684,0.0399381486937517,0.0611798241638149,0.0898886152414334
25,63.82937615333368,27.46765802928892,1016.5505091120536,4.745544962787502,8.474187433549133,12.541797401652728,16.60940736975632,20.677017337859915,24.74462730596351,0.0033530925483972,0.0106090403844976,0.0229871768073956,0.039951559401003,0.0612000646890349,0.089915717635522
26,63.863656765239554,27.45799977863338,1016.438173661992,4.746618215680424,8.476103956572208,12.54463385572688,16.61316375488155,20.68169365403622,24.75022355319089,0.0033542337064736,0.0106126638161354,0.022994956898792,0.0399649925003803,0.0612203387268345,0.0899428648556509
27,63.89793737714543,27.44834152797784,1016.3258382119308,4.747693020274572,8.47802325049033,12.5474744107257,16.616925570961065,20.68637673119644,24.755827891431803,0.0033553767858531,0.010616293355149,0.0230027500616234,0.0399784480507504,0.0612406463646604,0.0899700570187272
28,63.932217989051296,27.43868327732231,1016.2135027618692,4.7487693801584,8.479945321711451,12.550319076132958,16.620692830554464,20.69106658497597,24.761440339397478,0.0033565217916343,0.0106199290177481,0.0230105563304785,0.0399919261111885,0.0612609876902669,0.0899972942420676
