dry_radius,n_concentration
0.5307790785076365,3351737.512399736
0.6144178101707896,2717377.6557684024
0.9080375246886828,1508238.4215227778
1.1195421852692484,1101108.2079631109
1.2977881254871348,861529.1966820486
1.6116242595171653,638204.7026581243
1.988690181068482,469818.37672676414
2.4426643617095514,346601.15052590054
3.14895989459769,246172.7629286311
3.965462033126575,180671.6455031496
4.88143071463591,130061.87182559067
6.008284139067226,88373.08175125136
6.722236631416837,72122.37173435773
7.271440634389936,61587.13479902229
8.67428717745631,42024.2527677312
9.827290543197,30856.02658226495
11.374102285178001,20915.5842237525
12.201516066823052,16792.67952907312
13.676672982294006,12043.701968701895
15.053140995010136,8546.730307669775
16.891198389246192,5690.756459181061
17.880807572254128,4714.004578509234
