id_number,date,timedate,duration,bin_conc,bin_middle,wave_height,u10_wind,altitude
190117a1,2019-01-17 00:00:00,2019-01-17 16:21:35,9.71666666666667,"[0, 0, 0, 75.65545826001124, 6.394456035573767, 4.278956089798467, 58.35803089673346, 241.7821965672265, 438.08354359216673, 464.3806560394264, 405.12763588281115, 332.42180620017945, 274.07597056197136, 248.42687255669227, 164.66591444365037, 134.6087144387998, 124.83075022724549, 63.246160895329474, 117.33905308853845, 67.83647219877827, 45.91547349336953, 62.025029435520594, 48.36986769314588, 45.68864351161713, 16.07923052448298, 13.385273044700416, 16.051282341205138, 10.72118469917817, 5.401454162011182, 8.056426583655115, 10.83148590885282, 0.0, 5.414113056368911, 8.117934936214926, 5.427298047717279, 2.7246186547657025, 0.0, 0.0, 2.748582788983873, 2.7595373893622406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8, 3.0, 3.2, 3.4, 3.6, 3.8, 4.0, 4.2, 4.4, 4.6, 4.8, 5.0, 5.2, 5.4, 5.6, 5.8, 6.0, 6.2, 6.4, 6.6, 6.8, 7.0, 7.2, 7.4, 7.6, 7.8, 8.0, 8.2, 8.4, 8.6, 8.8, 9.0, 9.2, 9.4, 9.6, 9.8, 10.0, 10.2, 10.4, 10.6, 10.8, 11.0, 11.2, 11.4, 11.6, 11.8, 12.0, 12.2, 12.4, 12.6, 12.8, 13.0, 13.2, 13.4, 13.6, 13.8, 14.0, 14.2, 14.4, 14.6, 14.8, 15.0, 15.2, 15.4, 15.6, 15.8, 16.0, 16.2, 16.4, 16.6, 16.8, 17.0, 17.2, 17.4, 17.6, 17.8, 18.0, 18.2, 18.4, 18.6, 18.8, 19.0, 19.2, 19.4, 19.6, 19.8]",1.340000033,6.246441297871174,236.0
190117a2,2019-01-17 00:00:00,2019-01-17 17:00:52,9.76666666666667,"[0, 0, 0, 0.0, 70.39510752654786, 47.22311670569686, 9.621377746977478, 201.81597992422755, 537.2617221697006, 375.28195035164805, 384.3820788442234, 300.9574059755616, 237.41374005565405, 206.67695794724236, 154.93514417294824, 113.33029327616632, 117.85229027825693, 69.66953447809912, 71.80808963845189, 60.52513079669566, 52.029739664702475, 49.22176395957991, 35.50623213324665, 38.106077150731, 19.05390168919442, 8.218011675105599, 27.308531215644333, 16.3126488934351, 2.726263878700255, 8.189130741866867, 0.0, 0.0, 2.740506284949412, 5.502857953945053, 2.7630441945582453, 0.0, 0.0, 0.0, 0.0, 5.6120349667387295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8, 3.0, 3.2, 3.4, 3.6, 3.8, 4.0, 4.2, 4.4, 4.6, 4.8, 5.0, 5.2, 5.4, 5.6, 5.8, 6.0, 6.2, 6.4, 6.6, 6.8, 7.0, 7.2, 7.4, 7.6, 7.8, 8.0, 8.2, 8.4, 8.6, 8.8, 9.0, 9.2, 9.4, 9.6, 9.8, 10.0, 10.2, 10.4, 10.6, 10.8, 11.0, 11.2, 11.4, 11.6, 11.8, 12.0, 12.2, 12.4, 12.6, 12.8, 13.0, 13.2, 13.4, 13.6, 13.8, 14.0, 14.2, 14.4, 14.6, 14.8, 15.0, 15.2, 15.4, 15.6, 15.8, 16.0, 16.2, 16.4, 16.6, 16.8, 17.0, 17.2, 17.4, 17.6, 17.8, 18.0, 18.2, 18.4, 18.6, 18.8, 19.0, 19.2, 19.4, 19.6, 19.8]",1.340000033,6.246441297871174,209.0
190117a3,2019-01-17 00:00:00,2019-01-17 16:21:41,10.3333333333333,"[0, 0, 0, 0, 50.97996765418114, 54.82910566971337, 157.86951294299564, 429.2104424014731, 463.02014506705126, 499.1499343166019, 508.8534797277684, 376.85059712816644, 320.5253975277929, 283.2481635311835, 186.41279572899262, 170.21907421872314, 124.8177403527206, 110.31930454973975, 82.74782185467346, 87.55916412772677, 55.44363836622954, 68.39715779646953, 44.57794260269156, 41.917031751868166, 23.529165967925035, 20.950639043951565, 23.545866458408856, 23.529302383281664, 13.08205549291715, 10.500033120169364, 7.868457083967799, 10.541160742957397, 7.932468017865681, 7.961467053635874, 0.0, 0.0, 5.324366612491092, 0.0, 0.0, 2.6851339105254413, 0.0, 0.0, 0.0, 0.0, 2.737599256868121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9498285329669476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8, 3.0, 3.2, 3.4, 3.6, 3.8, 4.0, 4.2, 4.4, 4.6, 4.8, 5.0, 5.2, 5.4, 5.6, 5.8, 6.0, 6.2, 6.4, 6.6, 6.8, 7.0, 7.2, 7.4, 7.6, 7.8, 8.0, 8.2, 8.4, 8.6, 8.8, 9.0, 9.2, 9.4, 9.6, 9.8, 10.0, 10.2, 10.4, 10.6, 10.8, 11.0, 11.2, 11.4, 11.6, 11.8, 12.0, 12.2, 12.4, 12.6, 12.8, 13.0, 13.2, 13.4, 13.6, 13.8, 14.0, 14.2, 14.4, 14.6, 14.8, 15.0, 15.2, 15.4, 15.6, 15.8, 16.0, 16.2, 16.4, 16.6, 16.8, 17.0, 17.2, 17.4, 17.6, 17.8, 18.0, 18.2, 18.4, 18.6, 18.8, 19.0, 19.2, 19.4, 19.6, 19.8]",2.440000057,6.246441297871174,156.0
190117a4,2019-01-17 00:00:00,2019-01-17 17:00:58,9.78333333333333,"[0, 0, 0, 0, 96.02694314675739, 132.77508305350477, 345.3470474876032, 547.6230092916408, 706.2954366714958, 742.1628811491125, 581.447909982297, 392.1918277094013, 383.58112519736153, 353.66329756872176, 198.42562539832628, 186.8376515671858, 97.72490723255797, 122.446866270163, 91.99554367568754, 80.11445000877112, 94.0905017602574, 57.609372147126265, 32.221689596089576, 25.035235031548694, 24.921853337842542, 7.102198243384048, 35.54370536991883, 28.65321504419236, 0.0, 14.228970477243887, 0.0, 0.0, 0.0, 0.0, 3.608443668907085, 0.0, 0.0, 0.0, 0.0, 3.606878703326711, 3.635053427411426, 0.0, 0.0, 0.0, 3.746783044170919, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8, 3.0, 3.2, 3.4, 3.6, 3.8, 4.0, 4.2, 4.4, 4.6, 4.8, 5.0, 5.2, 5.4, 5.6, 5.8, 6.0, 6.2, 6.4, 6.6, 6.8, 7.0, 7.2, 7.4, 7.6, 7.8, 8.0, 8.2, 8.4, 8.6, 8.8, 9.0, 9.2, 9.4, 9.6, 9.8, 10.0, 10.2, 10.4, 10.6, 10.8, 11.0, 11.2, 11.4, 11.6, 11.8, 12.0, 12.2, 12.4, 12.6, 12.8, 13.0, 13.2, 13.4, 13.6, 13.8, 14.0, 14.2, 14.4, 14.6, 14.8, 15.0, 15.2, 15.4, 15.6, 15.8, 16.0, 16.2, 16.4, 16.6, 16.8, 17.0, 17.2, 17.4, 17.6, 17.8, 18.0, 18.2, 18.4, 18.6, 18.8, 19.0, 19.2, 19.4, 19.6, 19.8]",2.480000019,5.081850547420616,136.0
190117a5,2019-01-17 00:00:00,2019-01-17 16:21:35,9.93333333333333,"[0, 0, 0, 0, 0, 6.882130242656856, 97.94955424911664, 2097.008157624697, 755.8101939493364, 852.9871252276879, 781.8316058022019, 567.8782724021429, 512.5746039325534, 342.29178742748724, 321.27345171348736, 254.83974174873518, 219.16355893778203, 200.54892382210346, 156.24103025581, 139.50355313264558, 82.29375031841849, 70.57881278138815, 51.66352186669938, 55.160624658554894, 51.30033265047713, 29.213602795939405, 21.88735330365577, 14.608536329496676, 10.923102031978726, 7.286045974984878, 14.60791073956706, 10.911190870714993, 14.750260592977627, 0.0, 0.0, 10.971073312787999, 7.584722031354669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7388245334841455, 3.765022913882527, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8, 3.0, 3.2, 3.4, 3.6, 3.8, 4.0, 4.2, 4.4, 4.6, 4.8, 5.0, 5.2, 5.4, 5.6, 5.8, 6.0, 6.2, 6.4, 6.6, 6.8, 7.0, 7.2, 7.4, 7.6, 7.8, 8.0, 8.2, 8.4, 8.6, 8.8, 9.0, 9.2, 9.4, 9.6, 9.8, 10.0, 10.2, 10.4, 10.6, 10.8, 11.0, 11.2, 11.4, 11.6, 11.8, 12.0, 12.2, 12.4, 12.6, 12.8, 13.0, 13.2, 13.4, 13.6, 13.8, 14.0, 14.2, 14.4, 14.6, 14.8, 15.0, 15.2, 15.4, 15.6, 15.8, 16.0, 16.2, 16.4, 16.6, 16.8, 17.0, 17.2, 17.4, 17.6, 17.8, 18.0, 18.2, 18.4, 18.6, 18.8, 19.0, 19.2, 19.4, 19.6, 19.8]",1.200000048,5.081850547420616,82.0
190117a6,2019-01-17 00:00:00,2019-01-17 17:00:49,10.4333333333333,"[0, 0, 0, 0, 0, 114.60769522046637, 245.408917009632, 627.0677205856601, 786.3758142983695, 829.5741764401106, 588.2622177559084, 561.6624770735237, 405.85026692550605, 366.0892763455157, 255.65129521400428, 211.70368319758427, 216.109789213321, 138.46221223772406, 122.25314462950011, 88.0066757491922, 83.91969095729407, 39.89038665249232, 50.433138209493585, 46.56522399401398, 35.7022663716575, 32.089117980772826, 32.23023405525681, 10.68139187497146, 17.757190133079586, 7.1706692997574635, 7.12843315261616, 7.115895328149862, 7.1211699411784135, 0.0, 3.5742507643684704, 7.160651657373137, 7.175758610566237, 3.592451267521804, 0.0, 0.0, 3.7374839221842944, 0.0, 3.649419394633886, 0.0, 0.0, 0.0, 0.0, 3.7399873416173874, 0.0, 0.0, 3.7837819721695753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8, 3.0, 3.2, 3.4, 3.6, 3.8, 4.0, 4.2, 4.4, 4.6, 4.8, 5.0, 5.2, 5.4, 5.6, 5.8, 6.0, 6.2, 6.4, 6.6, 6.8, 7.0, 7.2, 7.4, 7.6, 7.8, 8.0, 8.2, 8.4, 8.6, 8.8, 9.0, 9.2, 9.4, 9.6, 9.8, 10.0, 10.2, 10.4, 10.6, 10.8, 11.0, 11.2, 11.4, 11.6, 11.8, 12.0, 12.2, 12.4, 12.6, 12.8, 13.0, 13.2, 13.4, 13.6, 13.8, 14.0, 14.2, 14.4, 14.6, 14.8, 15.0, 15.2, 15.4, 15.6, 15.8, 16.0, 16.2, 16.4, 16.6, 16.8, 17.0, 17.2, 17.4, 17.6, 17.8, 18.0, 18.2, 18.4, 18.6, 18.8, 19.0, 19.2, 19.4, 19.6, 19.8]",1.340000033,5.081850547420616,68.0
