x_34_54_windrange,y_34_54_windrange
2.8,1529.5047307691518
3.0,1529.5047307691518
3.2,1529.5047307691518
3.4,1529.5047307691518
3.6,1197.561221628297
3.8,935.5600492848899
4.0,745.0540813335954
4.2,573.013265774629
4.4,459.6436302646261
4.6,358.67641367358914
4.8,282.0782869539805
5.0,213.7165717009732
5.2,170.7526796104246
5.4,135.33271962828516
5.6,108.17387150946213
5.8,81.81163608624092
6.0,66.63611663071924
6.2,50.21055163228961
6.4,40.02045616147358
6.6,35.15575918769896
6.8,28.537150308420284
7.0,23.230617677014866
7.2,19.570656106746565
7.4,15.666265449867954
7.6,15.347823785580557
7.8,13.933448037803089
8.0,11.343201613494356
8.2,9.234561521791369
8.4,8.721354197859684
8.6,8.721354197859684
8.8,7.809965781848902
9.0,6.360401673561013
9.2,4.265787241202884
9.4,3.015448783870123
9.6,3.015448783870123
9.8,1.6126846039527842
10.0,1.0748241876838518
10.2,1.0748241876838518
10.4,0.5405402817385108
10.6,0.5405402817385108
10.8,0.5405402817385108
11.0,0.0
11.2,0.0
11.4,0.0
11.6,0.0
11.8,0.0
12.0,0.0
12.2,0.0
12.4,0.0
12.6,0.0
12.8,0.0
13.0,0.0
13.2,0.0
13.4,0.0
13.6,0.0
13.8,0.0
14.0,0.0
14.2,0.0
14.4,0.0
14.6,0.0
14.8,0.0
15.0,0.0
15.2,0.0
15.4,0.0
15.6,0.0
15.8,0.0
16.0,0.0
16.2,0.0
16.4,0.0
16.6,0.0
16.8,0.0
17.0,0.0
17.2,0.0
17.4,0.0
17.6,0.0
17.8,0.0
18.0,0.0
18.2,0.0
18.4,0.0
18.6,0.0
18.8,0.0
19.0,0.0
19.2,0.0
19.4,0.0
19.6,0.0
19.8,0.0
